zdid,,,lxid,,,ysfsbm,zdmc,,,,sfty,,station_code,station_telecode,station_shortname,
99,NULL,NULL,1,NULL,NULL,1,康庄      ,NULL,NULL,NULL,0,NULL,12221,KZP,康,NULL
100,NULL,NULL,1,NULL,NULL,1,东花园    ,NULL,NULL,NULL,0,NULL,12242,DNP,东,NULL
101,NULL,NULL,1,NULL,NULL,1,狼山      ,NULL,NULL,NULL,0,NULL,12248,LEP,狼,NULL
102,NULL,NULL,1,NULL,NULL,1,沙城      ,NULL,NULL,NULL,0,NULL,12254,SCP,沙,NULL
103,NULL,NULL,1,NULL,NULL,1,新保安    ,NULL,NULL,NULL,0,NULL,12275,XAP,新,NULL
104,NULL,NULL,1,NULL,NULL,1,西八里    ,NULL,NULL,NULL,0,NULL,12278,XLP,西,NULL
105,NULL,NULL,1,NULL,NULL,1,下花园    ,NULL,NULL,NULL,0,NULL,12281,XYP,下,NULL
106,NULL,NULL,1,NULL,NULL,1,宣化      ,NULL,NULL,NULL,0,NULL,12290,XHP,宣,NULL
107,NULL,NULL,1,NULL,NULL,1,沙岭子    ,NULL,NULL,NULL,0,NULL,12302,SLP,沙,NULL
108,NULL,NULL,1,NULL,NULL,1,张家口南  ,NULL,NULL,NULL,0,NULL,12308,ZMP,张,NULL
109,NULL,NULL,1,NULL,NULL,1,孔家庄    ,NULL,NULL,NULL,0,NULL,12320,KJP,孔,NULL
110,NULL,NULL,1,NULL,NULL,1,郭磊庄    ,NULL,NULL,NULL,0,NULL,12326,GLP,郭,NULL
111,NULL,NULL,1,NULL,NULL,1,柴沟堡    ,NULL,NULL,NULL,0,NULL,12332,CGV,柴,NULL
112,NULL,NULL,1,NULL,NULL,1,永嘉堡    ,NULL,NULL,NULL,0,NULL,12344,YJV,永,NULL
113,NULL,NULL,1,NULL,NULL,1,天镇      ,NULL,NULL,NULL,0,NULL,12350,TZV,安,NULL
114,NULL,NULL,1,NULL,NULL,1,阳高      ,NULL,NULL,NULL,0,NULL,12362,YOV,阳,NULL
115,NULL,NULL,1,NULL,NULL,1,大同东    ,NULL,NULL,NULL,0,NULL,12389,DDV,大,NULL
116,NULL,NULL,1,NULL,NULL,1,大同      ,NULL,NULL,NULL,0,NULL,12392,DTV,大,NULL
117,NULL,NULL,1,NULL,NULL,1,古店      ,NULL,NULL,NULL,0,NULL,12440,GIV,古,NULL
118,NULL,NULL,1,NULL,NULL,1,孤山      ,NULL,NULL,NULL,0,NULL,12449,GSC,孤,NULL
119,NULL,NULL,1,NULL,NULL,1,堡子湾    ,NULL,NULL,NULL,0,NULL,12455,PZC,堡,NULL
120,NULL,NULL,1,NULL,NULL,1,丰镇      ,NULL,NULL,NULL,0,NULL,12461,FZC,丰,NULL
121,NULL,NULL,1,NULL,NULL,1,新安庄    ,NULL,NULL,NULL,0,NULL,12467,XAC,新,NULL
122,NULL,NULL,1,NULL,NULL,1,永王庄    ,NULL,NULL,NULL,0,NULL,12470,YWC,永,NULL
123,NULL,NULL,1,NULL,NULL,1,红砂坝    ,NULL,NULL,NULL,0,NULL,12473,HSC,红,NULL
124,NULL,NULL,1,NULL,NULL,1,土贵乌拉  ,NULL,NULL,NULL,0,NULL,12479,TGC,土,NULL
